time,severity,type,src,dst,details
2026-04-04T09:38:56.972202Z,HIGH,ARP_SPOOF,08:00:27:5a:48:f1,192.168.56.100,"{""mode"": ""multiple-macs"", ""ip"": ""192.168.56.100"", ""macs_seen"": [""08:00:27:5a:48:f1"", ""08:00:27:d1:f8:5d""], ""max_macs_per_ip"": 1}"
2026-04-04T09:45:27.386147Z,MEDIUM,PORT_SCAN,192.168.56.102,192.168.56.1,"{""distinct_ports_in_window"": 20, ""window_sec"": 10, ""syn_ratio"": 0.89}"
2026-04-04T09:47:02.013956Z,MEDIUM,ICMP_SWEEP,192.168.56.102,192.168.56.1,"{""mode"": ""rate-based"", ""packet_count"": 20, ""window_sec"": 10}"
2026-04-04T09:47:12.016268Z,MEDIUM,ICMP_SWEEP,192.168.56.102,192.168.56.1,"{""mode"": ""rate-based"", ""packet_count"": 12021, ""window_sec"": 10}"
2026-04-04T09:47:22.016739Z,MEDIUM,ICMP_SWEEP,192.168.56.102,192.168.56.1,"{""mode"": ""rate-based"", ""packet_count"": 12126, ""window_sec"": 10}"
2026-04-04T09:47:32.018053Z,MEDIUM,ICMP_SWEEP,192.168.56.102,192.168.56.1,"{""mode"": ""rate-based"", ""packet_count"": 12380, ""window_sec"": 10}"
2026-04-04T09:47:59.780191Z,MEDIUM,PORT_SCAN,192.168.56.102,192.168.56.1,"{""distinct_ports_in_window"": 20, ""window_sec"": 10, ""syn_ratio"": 0.89}"
2026-04-04T09:48:11.349705Z,MEDIUM,PORT_SCAN,192.168.56.102,192.168.56.1,"{""distinct_ports_in_window"": 695, ""window_sec"": 10, ""syn_ratio"": 1.0}"
2026-04-04T09:48:11.365258Z,MEDIUM,PORT_SCAN,192.168.56.1,192.168.56.102,"{""distinct_ports_in_window"": 20, ""window_sec"": 10, ""syn_ratio"": 1.0}"
2026-04-04T09:48:11.502709Z,HIGH,SYN_FLOOD,192.168.56.102,192.168.56.1,"{""syn_in_window"": 200, ""ack_in_window"": 0, ""window_sec"": 5, ""ack_to_syn_ratio"": 0.0, ""target_port"": 445}"
2026-04-04T09:48:16.504086Z,HIGH,SYN_FLOOD,192.168.56.102,192.168.56.1,"{""syn_in_window"": 2781, ""ack_in_window"": 0, ""window_sec"": 5, ""ack_to_syn_ratio"": 0.0, ""target_port"": 445}"
2026-04-04T09:48:21.367149Z,MEDIUM,PORT_SCAN,192.168.56.1,192.168.56.102,"{""distinct_ports_in_window"": 4603, ""window_sec"": 10, ""syn_ratio"": 1.0}"
2026-04-04T09:48:21.504605Z,HIGH,SYN_FLOOD,192.168.56.102,192.168.56.1,"{""syn_in_window"": 1684, ""ack_in_window"": 0, ""window_sec"": 5, ""ack_to_syn_ratio"": 0.0, ""target_port"": 445}"
2026-04-04T09:48:26.504994Z,HIGH,SYN_FLOOD,192.168.56.102,192.168.56.1,"{""syn_in_window"": 1928, ""ack_in_window"": 0, ""window_sec"": 5, ""ack_to_syn_ratio"": 0.0, ""target_port"": 445}"
2026-04-04T09:48:31.368250Z,MEDIUM,PORT_SCAN,192.168.56.1,192.168.56.102,"{""distinct_ports_in_window"": 3628, ""window_sec"": 10, ""syn_ratio"": 1.0}"
2026-04-04T09:48:31.505043Z,HIGH,SYN_FLOOD,192.168.56.102,192.168.56.1,"{""syn_in_window"": 1712, ""ack_in_window"": 0, ""window_sec"": 5, ""ack_to_syn_ratio"": 0.0, ""target_port"": 445}"
2026-04-04T09:48:36.506040Z,HIGH,SYN_FLOOD,192.168.56.102,192.168.56.1,"{""syn_in_window"": 1926, ""ack_in_window"": 0, ""window_sec"": 5, ""ack_to_syn_ratio"": 0.0, ""target_port"": 445}"
2026-04-04T09:48:41.369979Z,MEDIUM,PORT_SCAN,192.168.56.1,192.168.56.102,"{""distinct_ports_in_window"": 3629, ""window_sec"": 10, ""syn_ratio"": 1.0}"
2026-04-04T09:48:41.506221Z,HIGH,SYN_FLOOD,192.168.56.102,192.168.56.1,"{""syn_in_window"": 1701, ""ack_in_window"": 0, ""window_sec"": 5, ""ack_to_syn_ratio"": 0.0, ""target_port"": 445}"
2026-04-04T09:49:07.947721Z,HIGH,ARP_SPOOF,08:00:27:d1:f8:5d,192.168.56.100,"{""mode"": ""multiple-macs"", ""ip"": ""192.168.56.100"", ""macs_seen"": [""08:00:27:5a:48:f1"", ""08:00:27:d1:f8:5d""], ""max_macs_per_ip"": 1}"
